customer_id,tenure_months,monthly_charges,contract_type,login_count_last_month,support_tickets,days_since_last_login,payment_method,internet_service,online_security,tech_support,streaming_tv,paperless_billing,senior_citizen,total_charges,churned
CUST_00028,55,145.98334191830548,One Year,21,7,26,Electronic Check,DSL,No,Yes,No internet service,No,0,7795.230744698496,Yes
CUST_00029,64,134.89216504524535,One Year,19,2,37,Electronic Check,DSL,No,No,No,Yes,0,9016.637917342256,Yes
CUST_00030,3,140.6077968153777,Month-to-Month,7,13,71,Credit Card,No,No,No internet service,Yes,Yes,1,401.546526374878,Yes
CUST_00031,51,149.33801694403658,Two Year,28,6,64,Bank Transfer,No,No,No internet service,No,No,0,7970.6900173234535,Yes
CUST_00032,7,42.60638239853335,Month-to-Month,39,14,53,Credit Card,Fiber Optic,No internet service,Yes,No,Yes,0,287.7840995726916,Yes
CUST_00033,21,71.51146245734563,Month-to-Month,25,13,23,Credit Card,Fiber Optic,No,Yes,Yes,Yes,0,1549.7120288308304,Yes
CUST_00034,39,118.57100184153187,One Year,29,5,46,Cash,Fiber Optic,No internet service,No,No,Yes,0,4520.649631065792,Yes
CUST_00035,18,110.48268034699299,Month-to-Month,16,11,70,Electronic Check,No,No internet service,No,No,Yes,0,1958.997593582836,Yes
CUST_00036,4,40.00646782418116,Month-to-Month,19,0,82,Electronic Check,No,No,Yes,Yes,Yes,0,155.49326189334687,Yes
CUST_00037,60,126.05830624878031,One Year,51,12,85,Credit Card,DSL,Yes,No internet service,No,Yes,1,7628.176907060726,Yes
CUST_00038,14,49.17727433876588,Two Year,54,6,62,Electronic Check,No,No,No internet service,No internet service,Yes,0,678.023495035843,Yes
CUST_00039,9,49.096289926941,Month-to-Month,15,13,56,Bank Transfer,DSL,No internet service,No,Yes,No,0,448.8212822120302,Yes
CUST_00040,53,89.80667497614377,One Year,45,12,54,Credit Card,DSL,Yes,No internet service,No internet service,Yes,0,4529.213823111198,Yes
CUST_00041,2,97.08219152942141,Two Year,42,6,59,Bank Transfer,Fiber Optic,No,No,Yes,Yes,0,185.70609486011892,Yes
CUST_00042,60,95.41120701891545,Month-to-Month,6,13,61,Credit Card,Fiber Optic,No internet service,No,No internet service,Yes,0,5495.491545328089,Yes
CUST_00043,71,31.893288861708132,Month-to-Month,15,14,29,Electronic Check,No,No,No,Yes,No,0,2246.0802488437125,Yes
CUST_00044,44,134.06991214194943,Month-to-Month,44,11,21,Bank Transfer,DSL,No,Yes,Yes,No,0,6084.776793174814,Yes
CUST_00045,8,54.528005536531786,Month-to-Month,58,0,74,Credit Card,Fiber Optic,Yes,No internet service,No,No,0,453.1572980892717,Yes
CUST_00046,47,36.836939766764544,Month-to-Month,46,8,83,Credit Card,No,Yes,No,No,No,0,1687.154329469675,Yes
CUST_00047,35,135.53725038296704,Two Year,55,5,28,Credit Card,No,No,No,No internet service,Yes,0,4779.083301176681,Yes
CUST_00048,36,144.23469476986793,One Year,47,14,40,Credit Card,DSL,Yes,No,Yes,Yes,0,5331.796165823812,Yes
CUST_00049,50,132.07659024450857,One Year,26,11,41,Bank Transfer,Fiber Optic,Yes,Yes,Yes,No,1,6464.376067944393,Yes
CUST_00050,4,125.23708971423414,Month-to-Month,52,1,64,Electronic Check,Fiber Optic,No internet service,Yes,No,No,0,496.39011636187234,Yes
CUST_00051,2,105.18145748307282,Two Year,22,4,30,Credit Card,DSL,No,No,No,Yes,0,210.86724328224125,Yes
CUST_00052,6,91.6114581791881,Two Year,23,12,29,Credit Card,No,No internet service,No,Yes,Yes,0,529.5989604320533,Yes
CUST_00053,54,31.308278788483317,Two Year,8,10,17,Bank Transfer,No,No internet service,Yes,No,No,1,1610.5073906850614,No
CUST_00054,4,73.09891769919084,Month-to-Month,34,3,16,Electronic Check,DSL,Yes,No,No,No,0,282.24386296865134,Yes
CUST_00055,54,68.44950721160082,One Year,50,6,37,Credit Card,DSL,Yes,No,No internet service,Yes,0,3743.161955885626,Yes
CUST_00056,63,53.76799188884241,Month-to-Month,19,7,13,Credit Card,DSL,No,No,No internet service,No,0,3242.9516429080045,Yes
CUST_00057,18,114.04461477951604,Month-to-Month,36,10,86,Bank Transfer,No,No,No,Yes,Yes,0,1989.1038406676576,Yes
CUST_00058,44,84.4638455602402,Month-to-Month,41,13,88,Credit Card,DSL,Yes,No internet service,No,Yes,0,3656.1490734805393,Yes
CUST_00059,34,30.53600806799423,One Year,16,14,78,Credit Card,Fiber Optic,No,No,Yes,Yes,1,994.3977196967227,Yes
CUST_00060,62,48.623816253475475,One Year,46,10,55,Electronic Check,Fiber Optic,Yes,No,No,Yes,1,2921.733908178414,Yes
CUST_00061,14,108.82363927574747,Month-to-Month,30,0,21,Electronic Check,Fiber Optic,No internet service,Yes,No,Yes,0,1586.1891750863606,Yes
CUST_00062,48,29.897011733739024,Month-to-Month,54,4,66,Bank Transfer,DSL,Yes,Yes,No internet service,No,0,1366.073269695177,Yes
CUST_00063,15,130.65689882633993,Month-to-Month,56,14,55,Electronic Check,DSL,Yes,Yes,No,Yes,0,1989.9238914854695,Yes
CUST_00064,62,84.36904851181666,Month-to-Month,7,2,18,Electronic Check,No,Yes,No,No internet service,Yes,0,5170.416694938705,Yes
CUST_00065,40,82.47625505246424,Month-to-Month,14,0,56,Credit Card,No,No internet service,Yes,No internet service,Yes,1,3356.0078879702123,Yes
CUST_00066,53,97.0130120057373,Month-to-Month,30,11,43,Bank Transfer,No,No,Yes,No internet service,Yes,0,5187.292166245927,Yes
CUST_00067,24,127.20852557026939,One Year,52,2,34,Credit Card,DSL,No internet service,No,No internet service,No,0,2968.5886558219327,Yes
CUST_00068,26,65.2151970272851,Month-to-Month,29,13,0,Credit Card,DSL,No,Yes,No,No,0,1754.4677940782,Yes
CUST_00069,60,108.14209983267827,Month-to-Month,45,5,51,Electronic Check,Fiber Optic,No,Yes,Yes,No,0,6483.296486269864,Yes
CUST_00070,41,93.54515531945283,Month-to-Month,19,13,84,Electronic Check,DSL,Yes,Yes,Yes,No,0,3959.055264237619,Yes
CUST_00071,29,54.713675122024775,Two Year,59,6,69,Cash,No,No,No,Yes,Yes,0,1571.7836198131502,Yes
CUST_00072,15,134.22189822617054,One Year,38,7,36,Electronic Check,Fiber Optic,No,Yes,No,Yes,0,2110.9115960265176,Yes
CUST_00073,45,123.66538280890066,One Year,52,12,64,Credit Card,DSL,No,No,No,No,0,5715.467991692115,Yes
CUST_00074,65,105.59873850559532,Month-to-Month,54,10,50,Credit Card,No,Yes,No,No,No,1,7183.742402994718,Yes
CUST_00075,71,130.57562478225145,One Year,11,3,0,Electronic Check,No,No internet service,No,No internet service,No,0,9284.151250975403,Yes
CUST_00076,9,132.7482461247743,Month-to-Month,48,2,20,Bank Transfer,DSL,Yes,No,No internet service,No,0,1191.5910046816246,Yes
CUST_00077,1,112.08718697295453,One Year,16,4,52,Electronic Check,Fiber Optic,No internet service,No internet service,Yes,No,0,114.9504968618339,Yes
CUST_00078,8,128.81173268727736,Two Year,41,8,15,Electronic Check,DSL,Yes,Yes,Yes,Yes,0,1069.6826427098933,Yes
CUST_00079,63,110.67129001700687,One Year,29,12,60,Electronic Check,Fiber Optic,No,Yes,No,Yes,0,7295.907239173226,Yes
CUST_00080,11,108.41830032883905,Two Year,28,5,53,Electronic Check,DSL,No,Yes,Yes,No,0,1171.6773410589497,Yes
CUST_00081,8,100.41947916797396,One Year,18,14,39,Credit Card,Fiber Optic,No,Yes,No,No,0,827.3524395280872,Yes
CUST_00082,35,117.85316314249336,Month-to-Month,45,8,25,Electronic Check,No,No,Yes,No,Yes,0,4005.506049429766,Yes
CUST_00083,35,40.61866368809958,Two Year,10,14,79,Electronic Check,Fiber Optic,No,Yes,No,Yes,0,1428.1323208048884,Yes
CUST_00084,33,134.5131986958607,Month-to-Month,33,5,64,Credit Card,DSL,No,No,No internet service,Yes,1,4296.822213197995,Yes
CUST_00085,5,133.33965860688016,One Year,49,1,73,Electronic Check,Fiber Optic,No,No,No internet service,Yes,0,656.5243011910413,Yes
CUST_00086,41,23.80214679449269,Month-to-Month,6,12,63,Credit Card,DSL,No,No,Yes,No,0,1017.9837648010517,Yes
CUST_00087,28,127.35617757341915,Month-to-Month,43,4,42,Cash,No,No internet service,No,No,Yes,1,3439.7698721389024,Yes
CUST_00088,7,36.75308277154788,Month-to-Month,57,11,16,Credit Card,Fiber Optic,Yes,Yes,No,Yes,0,260.67787814138677,Yes
CUST_00089,12,63.56545105368845,Month-to-Month,33,10,58,Bank Transfer,DSL,No,Yes,Yes,Yes,0,769.8758289874592,Yes
CUST_00090,34,116.656073317909,Month-to-Month,58,8,22,Credit Card,DSL,No,No,Yes,No,0,3815.879699396531,Yes
CUST_00091,33,40.898786486280066,One Year,19,7,6,Electronic Check,No,No,Yes,No,Yes,0,1326.1730424682178,Yes
CUST_00092,48,126.33571313547809,Month-to-Month,49,6,43,Credit Card,DSL,No,Yes,Yes,Yes,0,6102.306934281898,Yes
CUST_00093,23,128.17744313450646,Month-to-Month,37,0,52,Credit Card,No,No,No,Yes,Yes,0,2855.858906161088,Yes
CUST_00094,62,85.9708053889087,One Year,23,3,70,Bank Transfer,DSL,Yes,No internet service,No,Yes,0,5490.428052849104,Yes
CUST_00095,37,20.830163323188366,Month-to-Month,9,11,78,Cash,DSL,Yes,No,No,Yes,0,807.1059026265166,Yes
CUST_00096,44,57.31495731273866,One Year,31,6,33,Credit Card,Fiber Optic,Yes,Yes,Yes,Yes,0,2449.924489374453,Yes
CUST_00097,35,100.20049938884648,One Year,51,10,45,Credit Card,No,No,No internet service,Yes,No,0,3397.216957427327,Yes
CUST_00098,65,147.55420314356505,Two Year,14,6,67,Electronic Check,No,No,No,No internet service,Yes,0,9547.801327122503,Yes
CUST_00099,47,102.13575851216689,One Year,36,14,77,Bank Transfer,DSL,No internet service,No,Yes,Yes,0,4919.317414286114,Yes
CUST_00100,3,53.77446553834077,Month-to-Month,19,5,77,Cash,Fiber Optic,No,No internet service,No internet service,No,0,157.8001034774726,Yes
CUST_00101,1,102.42074140294947,One Year,2,7,15,Credit Card,DSL,Yes,No,No,Yes,1,97.50331583158183,Yes
CUST_00102,5,90.19809936306122,Month-to-Month,36,10,70,Electronic Check,Fiber Optic,No internet service,Yes,Yes,No,0,452.8495079668655,Yes
CUST_00103,14,121.37990136964866,Month-to-Month,56,12,18,Credit Card,Fiber Optic,No internet service,No,Yes,Yes,0,1776.9096038083715,Yes
CUST_00104,27,33.90748304750459,One Year,39,5,1,Credit Card,No,No,No,Yes,Yes,0,905.5484161907909,Yes
CUST_00105,9,118.93362732526364,Month-to-Month,7,9,9,Electronic Check,No,No,No,Yes,No,0,1061.8538274753148,Yes
CUST_00106,15,90.36465522789433,One Year,39,2,49,Bank Transfer,Fiber Optic,No internet service,No,Yes,No,1,1419.0280414225817,Yes
CUST_00107,42,145.1889605016693,Two Year,43,3,80,Electronic Check,Fiber Optic,No,No internet service,No,Yes,0,6216.606823788859,Yes
CUST_00108,51,64.44338158502919,Two Year,55,13,11,Credit Card,No,No internet service,No internet service,Yes,Yes,0,3358.6457781043305,No
CUST_00109,63,102.24084610741326,Two Year,22,2,69,Bank Transfer,No,Yes,No internet service,No,Yes,0,6481.5607530821835,No
CUST_00110,52,141.16365371630226,Month-to-Month,39,0,21,Bank Transfer,DSL,Yes,No internet service,No,No,1,7688.897358770621,Yes
CUST_00111,4,33.3262646387883,Month-to-Month,10,14,31,Cash,DSL,No,No internet service,Yes,No,1,135.8227443316987,Yes
CUST_00112,23,141.83970334073865,One Year,45,9,83,Credit Card,Fiber Optic,No,Yes,Yes,Yes,0,3391.1852319213604,Yes
CUST_00113,15,109.42514389910573,Month-to-Month,7,4,0,Credit Card,DSL,No internet service,Yes,Yes,Yes,1,1674.1027500965336,Yes
CUST_00114,43,28.81881768367235,One Year,28,14,53,Bank Transfer,DSL,No internet service,No,Yes,Yes,0,1268.3449287875842,Yes
CUST_00115,29,59.12526370308611,One Year,29,0,57,Bank Transfer,DSL,No,No internet service,No,Yes,0,1678.6958198463808,Yes
CUST_00116,36,112.06237152388661,One Year,55,0,69,Credit Card,Fiber Optic,Yes,No,Yes,Yes,0,3954.9638594999983,Yes
CUST_00117,13,28.75557819094032,Month-to-Month,59,1,82,Cash,DSL,No internet service,No,No,Yes,1,384.4011198652594,Yes
CUST_00118,32,95.68215982291552,Month-to-Month,9,12,17,Credit Card,DSL,No,Yes,No,No,0,2999.584054075251,Yes
CUST_00119,71,64.96479740388438,Month-to-Month,38,3,5,Electronic Check,DSL,Yes,Yes,No,No,0,4641.453314697599,Yes
CUST_00120,59,100.71901730977203,Month-to-Month,27,5,44,Credit Card,No,No,No,No,No,0,5793.47658655154,Yes
CUST_00121,28,25.94646439562667,Two Year,48,7,22,Electronic Check,No,No,Yes,No,Yes,0,749.5298774892169,Yes
CUST_00122,66,133.29978479980892,Month-to-Month,35,12,22,Cash,Fiber Optic,No,No,Yes,Yes,1,8455.113228783697,Yes
CUST_00123,42,146.5535659930616,Month-to-Month,12,2,25,Credit Card,Fiber Optic,No,Yes,Yes,No,0,6358.032407126902,Yes
CUST_00124,45,145.9541211871399,Month-to-Month,31,0,76,Cash,No,No,Yes,No,Yes,1,6635.407723308973,Yes
CUST_00125,62,117.45473812658021,One Year,35,2,6,Bank Transfer,DSL,No internet service,No,Yes,No,1,7054.195220547721,Yes
CUST_00126,57,36.91121121698215,One Year,36,11,78,Cash,DSL,No,No,No,Yes,0,2112.7830282281034,Yes
CUST_00127,6,118.57421547077294,Month-to-Month,25,2,43,Electronic Check,DSL,No,No,No,Yes,0,695.9712749537532,Yes
CUST_00128,28,23.196299139644196,Month-to-Month,21,4,26,Credit Card,DSL,Yes,Yes,No,Yes,0,638.0306432778093,Yes
CUST_00129,28,22.876061698769643,Month-to-Month,3,10,25,Credit Card,Fiber Optic,No,No internet service,No,Yes,0,631.0196572588426,Yes
CUST_00130,44,62.06932848944036,Month-to-Month,30,11,78,Credit Card,No,Yes,No,No,No,0,2611.7907366747345,Yes
CUST_00131,30,83.52361475260655,One Year,17,11,35,Credit Card,Fiber Optic,Yes,No,No,Yes,0,2627.4762721156117,Yes
CUST_00132,62,120.15296431501312,One Year,37,3,54,Credit Card,Fiber Optic,No,No,No,Yes,0,7100.50126825521,Yes
CUST_00133,62,108.82839895884567,Month-to-Month,23,12,63,Credit Card,No,Yes,Yes,No,Yes,1,6857.003237624106,Yes
CUST_00134,1,77.96735182897729,Month-to-Month,55,3,56,Bank Transfer,DSL,No,No internet service,No,No,0,76.96334789966315,Yes
CUST_00135,27,55.57146661661656,Two Year,22,8,68,Electronic Check,DSL,Yes,No,No internet service,Yes,0,1522.33741487302,Yes
CUST_00136,62,149.62618502050245,Month-to-Month,21,6,60,Credit Card,Fiber Optic,No,No,No,Yes,1,9143.467513291818,Yes
CUST_00137,3,75.40356929067649,One Year,1,3,1,Credit Card,Fiber Optic,Yes,Yes,No,Yes,0,230.14113354037335,Yes
CUST_00138,70,78.68031316285781,Month-to-Month,30,2,54,Electronic Check,DSL,Yes,No internet service,No,Yes,0,5633.876173111173,Yes
CUST_00139,27,41.271096754917,Month-to-Month,54,5,79,Credit Card,Fiber Optic,Yes,No,No,Yes,0,1135.553266821623,Yes
CUST_00140,9,123.32524133749082,Month-to-Month,10,2,86,Credit Card,Fiber Optic,No internet service,Yes,Yes,No,0,1067.07976340441,Yes
CUST_00141,62,110.17868935159352,One Year,27,5,37,Credit Card,Fiber Optic,No internet service,Yes,No internet service,Yes,0,6938.253743765586,No
CUST_00142,37,48.70004966253885,Two Year,45,10,79,Cash,Fiber Optic,Yes,No internet service,Yes,Yes,0,1762.257753622477,Yes
CUST_00143,51,30.709535930059552,Month-to-Month,31,12,77,Electronic Check,DSL,No,No,No,No,0,1492.3878471054882,Yes
CUST_00144,44,108.4649092697127,Month-to-Month,4,10,28,Bank Transfer,DSL,No,No,No,Yes,0,4731.8093207044,Yes
CUST_00145,24,105.08645785654758,Month-to-Month,37,12,25,Electronic Check,Fiber Optic,No internet service,No,No internet service,Yes,0,2505.3140607335777,Yes
CUST_00146,59,55.52373850976721,Month-to-Month,9,12,34,Bank Transfer,DSL,No,No,Yes,Yes,0,3265.147144543304,Yes
CUST_00147,32,143.61226309255335,Month-to-Month,39,11,78,Electronic Check,No,No,No,No,Yes,0,4689.72125713068,Yes
CUST_00148,52,39.63752593151703,Month-to-Month,45,8,66,Electronic Check,Fiber Optic,Yes,Yes,No,No,0,2021.7511643840394,Yes
CUST_00149,62,76.20352413553825,One Year,23,5,86,Electronic Check,DSL,No,No,Yes,No,0,4637.345585959836,Yes
CUST_00150,58,142.67006962178786,Month-to-Month,34,11,28,Credit Card,No,No internet service,No internet service,Yes,No,0,7911.227004919953,Yes
CUST_00151,52,74.5645512003959,Month-to-Month,43,3,33,Credit Card,Fiber Optic,No,Yes,No,No,0,3949.7939110715115,Yes
CUST_00152,12,103.00837319633112,Two Year,47,14,40,Bank Transfer,DSL,Yes,No,No,Yes,0,1244.4844647583775,Yes
CUST_00153,39,71.68727173516325,Month-to-Month,59,4,40,Electronic Check,No,Yes,No,Yes,Yes,0,2753.7058165064,Yes
CUST_00154,2,55.647976305327106,Two Year,22,12,22,Bank Transfer,No,No,No,No,Yes,0,113.57962289803565,Yes
CUST_00155,3,147.91709423477766,Month-to-Month,16,5,70,Electronic Check,Fiber Optic,No,No internet service,No,Yes,0,445.4090376181703,Yes
CUST_00156,56,73.21342082095559,Two Year,0,10,2,Cash,DSL,No,No,No,No,0,4087.3421427395456,Yes
CUST_00157,59,136.23289647828747,One Year,54,2,57,Credit Card,Fiber Optic,No internet service,Yes,No internet service,No,0,8046.843266986036,No
CUST_00158,2,49.89409876584121,Two Year,30,7,31,Electronic Check,No,Yes,No internet service,No,Yes,0,101.14879089740477,Yes
CUST_00159,2,47.70361152326083,Two Year,30,3,30,Electronic Check,DSL,No,No,No internet service,Yes,0,96.933763464789,Yes
CUST_00160,54,24.047430774986477,Month-to-Month,41,7,81,Cash,DSL,No internet service,No internet service,No internet service,Yes,0,1271.1561417812645,Yes
CUST_00161,1,104.71668729886505,Two Year,56,9,42,Cash,No,No,No,Yes,Yes,1,100.95467081128399,Yes
CUST_00162,19,67.90842468408894,Month-to-Month,54,9,6,Electronic Check,DSL,Yes,No internet service,Yes,Yes,0,1245.956948490833,Yes
CUST_00163,2,132.3665724791528,Month-to-Month,41,2,0,Credit Card,No,No,Yes,No,Yes,0,268.4232837186682,Yes
CUST_00164,53,81.51728786990243,Month-to-Month,52,9,60,Electronic Check,Fiber Optic,No internet service,Yes,No,No,0,4481.513037671668,Yes
CUST_00165,44,145.8651456289138,One Year,55,6,13,Credit Card,Fiber Optic,Yes,No internet service,No,No,0,6359.980518100235,No
CUST_00166,32,44.118317041405746,Month-to-Month,33,10,51,Electronic Check,DSL,No internet service,Yes,No,Yes,0,1365.1294594293752,Yes
CUST_00167,70,132.9210118342294,One Year,8,12,5,Cash,No,No,Yes,No,Yes,0,9543.22587438293,Yes
CUST_00168,32,120.95759086292642,One Year,21,11,9,Bank Transfer,Fiber Optic,Yes,No,No,Yes,0,3999.337710215428,Yes
CUST_00169,68,120.21983980372676,One Year,12,8,70,Electronic Check,Fiber Optic,No,No internet service,Yes,No,1,8486.073316993392,Yes
CUST_00170,55,129.82181965519538,Two Year,24,3,89,Bank Transfer,Fiber Optic,No,Yes,No internet service,No,1,7216.479858774446,Yes
CUST_00171,56,118.93311882258986,Month-to-Month,47,7,29,Bank Transfer,Fiber Optic,No,No internet service,Yes,No,0,6900.5090607168995,Yes
CUST_00172,17,101.408641812084,Month-to-Month,17,2,20,Credit Card,No,No,No,No internet service,Yes,1,1640.407022264889,Yes
CUST_00173,38,37.061834098710385,Month-to-Month,50,6,59,Electronic Check,Fiber Optic,No internet service,No,Yes,No,0,1353.0347618430171,Yes
CUST_00174,24,24.22840333386275,Month-to-Month,11,2,80,Cash,Fiber Optic,Yes,No internet service,No internet service,Yes,0,557.790724711913,Yes
CUST_00175,69,139.7102202160393,Month-to-Month,39,11,73,Cash,No,No,No,Yes,Yes,0,9844.956220974424,Yes
CUST_00176,70,100.16454088769595,Month-to-Month,16,14,62,Credit Card,Fiber Optic,No,Yes,Yes,Yes,0,6709.729360851307,Yes
CUST_00177,11,123.54984782690292,Month-to-Month,14,14,41,Electronic Check,DSL,No,Yes,Yes,Yes,0,1358.5542267445348,Yes
CUST_00178,16,82.5979056966315,Two Year,41,6,50,Electronic Check,DSL,No,No,No,No,0,1317.9595263259305,Yes
CUST_00179,59,35.25006456511128,One Year,14,13,63,Credit Card,No,Yes,No,No internet service,Yes,0,2040.384802544097,Yes
CUST_00180,70,36.27415298633156,Month-to-Month,14,10,75,Credit Card,Fiber Optic,No,No internet service,No,Yes,0,2633.2436456530645,Yes
CUST_00181,3,109.12348733976627,One Year,54,9,55,Credit Card,Fiber Optic,No,No,No internet service,Yes,0,316.58141852262213,Yes
CUST_00182,20,75.93976633693015,Month-to-Month,38,9,79,Cash,Fiber Optic,Yes,No,No,Yes,0,1496.3874433811568,Yes
CUST_00183,59,46.068214471043774,Month-to-Month,12,10,40,Electronic Check,DSL,No internet service,No,No,Yes,0,2792.545143434517,Yes
CUST_00184,36,83.9072910763868,One Year,16,10,31,Electronic Check,Fiber Optic,No internet service,Yes,No internet service,Yes,1,2878.8189091728814,Yes
CUST_00185,19,28.34716181976743,Month-to-Month,31,5,14,Credit Card,DSL,No,Yes,Yes,Yes,0,547.9111152424781,Yes
CUST_00186,67,95.65628224887185,Month-to-Month,8,1,61,Electronic Check,Fiber Optic,Yes,No internet service,Yes,Yes,0,6611.749293119897,Yes
CUST_00187,19,54.969142576562696,Two Year,39,10,26,Credit Card,Fiber Optic,No,Yes,No internet service,No,1,1089.5603546369712,Yes
CUST_00188,20,123.68268308283446,Two Year,19,2,27,Bank Transfer,Fiber Optic,Yes,Yes,No internet service,Yes,0,2566.736417918776,Yes
CUST_00189,71,60.347054660064586,One Year,25,5,80,Electronic Check,Fiber Optic,Yes,No,No internet service,Yes,0,4207.2534611898,Yes
CUST_00190,52,79.17861938063416,One Year,26,13,63,Credit Card,No,No,No,No internet service,Yes,0,4152.846813857492,Yes
CUST_00191,33,21.510670188053084,One Year,20,3,58,Electronic Check,No,Yes,No internet service,Yes,No,0,679.8462053636433,Yes
CUST_00192,40,29.418095413292654,Month-to-Month,17,5,57,Credit Card,DSL,Yes,Yes,No internet service,No,0,1148.2318031795267,Yes
CUST_00193,39,71.02416233286903,Month-to-Month,12,0,1,Electronic Check,DSL,Yes,Yes,No,Yes,0,2657.5442699746504,Yes
CUST_00194,1,82.39204851322606,Month-to-Month,15,9,35,Bank Transfer,Fiber Optic,Yes,Yes,No internet service,Yes,0,80.86933873767651,Yes
CUST_00195,11,98.00267125550948,Month-to-Month,8,11,70,Bank Transfer,No,Yes,No,No,No,0,1118.4756678644574,Yes
CUST_00196,57,57.91613523220942,One Year,11,0,12,Credit Card,No,No internet service,No,No,No,1,3250.7661241420165,Yes
CUST_00197,50,110.34764519645053,Month-to-Month,43,2,14,Credit Card,No,Yes,No,No,No,0,5551.533809364199,No
CUST_00198,23,131.8159116345966,Two Year,37,7,88,Cash,DSL,Yes,No internet service,Yes,No,1,3011.568599848201,Yes
CUST_00199,31,121.38062855613548,Two Year,18,7,86,Credit Card,Fiber Optic,Yes,No internet service,Yes,No,1,3747.34059711814,Yes
CUST_00200,42,25.15044729528643,One Year,59,10,59,Electronic Check,Fiber Optic,No internet service,Yes,No internet service,Yes,0,1105.9205643944606,Yes
CUST_00201,7,82.46590314351776,One Year,6,3,21,Cash,DSL,No,No,No internet service,Yes,0,565.4941078911503,Yes
